pl_name,pl_masse,pl_rade,pl_orbsmax,pl_orbincl,pl_trandep,st_teff,st_rad,st_radv,st_dist,st_optmag
HAT-P-21 b,1291.28900,11.478,0.049400,87.200,0.734100,5588.00,1.10,-53.19,254.00,11.685
HAT-P-22 b,682.35200,12.106,0.041400,86.900,0.889400,5302.00,1.04,12.49,82.00,9.732
HAT-P-23 b,658.00000,13.720,0.023020,85.740,,5885.00,1.09,-15.10,393.00,
HAT-P-24 b,217.70400,13.922,0.046500,88.600,0.941000,6373.00,1.32,-2.09,396.00,11.818
HAT-P-25 b,180.20200,13.339,0.046600,87.600,1.381100,5500.00,0.96,-12.51,297.00,13.190
HAT-P-26 b,18.75100,6.333,0.047900,88.600,0.543000,5079.00,0.79,14.72,134.00,11.744
HAT-P-27 b,197.05000,11.430,0.040000,85.000,1.430000,5300.00,0.90,-15.77,204.00,
HAT-P-28 b,198.95300,13.585,0.043400,88.000,1.471900,5680.00,1.10,43.88,395.00,13.030
Kepler-120 b,,2.150,0.055000,,,4096.00,0.53,,,14.735
Kepler-120 c,,1.530,0.088000,,,4096.00,0.53,,,14.735
HAT-P-29 b,247.26100,12.408,0.066700,87.100,0.834600,6087.00,1.22,-21.67,322.00,11.900
Kepler-121 c,,2.270,0.216000,,,5311.00,0.70,,,14.708
Kepler-122 b,,2.340,0.064000,,,6050.00,1.22,,,14.247
HAT-P-30 b,225.96800,15.020,0.041900,83.600,0.807200,6304.00,1.22,45.51,193.00,10.419
HAT-P-31 b,689.98000,11.990,0.055000,87.100,0.650000,6065.00,1.36,-2.40,354.00,11.660
HAT-P-32 b,,20.053,0.034300,88.900,,6269.00,1.22,-23.21,283.00,11.289
HAT-P-33 b,242.17600,18.898,0.049900,87.200,0.779800,6446.00,1.64,23.03,387.00,11.188
HAT-P-34 b,1057.69400,13.417,0.067700,87.100,,6442.00,1.53,-49.26,257.00,
Kepler-115 b,,1.090,0.036000,,,5979.00,1.21,,,13.431
Kepler-115 c,,2.600,0.087000,,,5979.00,1.21,,,13.431
Kepler-116 b,,3.420,0.069000,,,6142.00,1.45,,,13.717
Kepler-117 b,29.87500,8.059,0.144500,88.740,,6150.00,1.61,-12.95,1430.00,14.274
Kepler-117 c,584.78000,12.341,0.280400,89.640,,6150.00,1.61,-12.95,1430.00,14.274
Kepler-118 b,,1.960,0.073000,,,5274.00,1.09,,,14.711
Kepler-118 c,,7.680,0.141000,,,5274.00,1.09,,,14.711
Kepler-119 c,,0.920,0.049000,,,5595.00,0.84,,,14.236
Kepler-122 c,,5.870,0.108000,,,6050.00,1.22,,,14.247
Kepler-122 e,,2.600,0.227000,,,6050.00,1.22,,,14.247
Kepler-122 f,36.00000,1.750,,,,6050.00,1.22,,,14.247
Kepler-123 b,,2.940,0.135000,,,6089.00,1.26,,,14.061
Kepler-123 c,,1.480,0.181000,,,6089.00,1.26,,,14.061
Kepler-126 d,,2.500,0.448000,,,6239.00,1.36,,,10.500
Kepler-127 c,,2.660,0.200000,,,6106.00,1.36,,,11.485
Kepler-127 d,,2.640,0.280000,,,6106.00,1.36,,,11.485
Kepler-128 b,30.70000,1.130,,,,6090.00,1.66,,,11.390
Kepler-129 b,,2.370,0.131000,,,5770.00,1.64,,,11.696
Kepler-129 c,,2.550,0.393000,,,5770.00,1.64,,,11.696
Kepler-130 b,,1.020,0.079000,,,5884.00,1.13,,,11.529
Kepler-130 d,,1.640,0.377000,,,5884.00,1.13,,,11.529
Kepler-124 c,,1.750,0.100000,,,4984.00,0.64,,,14.139
Kepler-124 d,,1.110,0.170000,,,4984.00,0.64,,,14.139
Kepler-131 b,16.13000,2.410,,,,5685.00,1.03,,,11.525
Kepler-125 b,,2.370,0.041000,,,3810.00,0.51,,,14.752
Kepler-132 b,,1.210,0.067000,,,6003.00,1.18,,,11.818
Kepler-126 b,,1.520,0.099000,,,6239.00,1.36,,,10.500
Kepler-126 c,,1.580,0.162000,,,6239.00,1.36,,,10.500
Kepler-132 d,,1.550,0.136000,,,6003.00,1.18,,,11.818
Kepler-133 b,,1.760,0.083000,,,5736.00,1.43,,,12.848
Kepler-133 c,,2.840,0.204000,,,5736.00,1.43,,,12.848
Kepler-134 b,,2.000,0.060000,,,5983.00,1.18,,,12.324
Kepler-135 b,,1.810,0.067000,,,6090.00,1.27,,,12.730
Kepler-135 c,,1.160,0.103000,,,6090.00,1.27,,,12.730
Kepler-136 b,,2.050,0.106000,,,6165.00,1.35,,,12.459
Kepler-137 b,,1.470,0.077000,,,5187.00,0.80,-28.10,,12.990
Kepler-137 c,,1.880,0.130000,,,5187.00,0.80,-28.10,,12.990
Kepler-138 d,0.64000,1.212,,,,3841.00,0.44,,,12.925
Kepler-142 d,,2.160,0.242000,,,5790.00,1.27,,,13.203
Kepler-143 b,,2.410,0.127000,,,5848.00,1.36,,,13.770
Kepler-143 c,,3.370,0.181000,,,5848.00,1.36,,,13.770
Kepler-144 b,,1.330,0.066000,,,6075.00,1.24,,,11.992
Kepler-144 c,,1.350,0.094000,,,6075.00,1.24,,,11.992
Kepler-139 b,,2.940,0.127000,,,5594.00,1.30,,,12.701
Kepler-139 c,,3.380,0.586000,,,5594.00,1.30,,,12.701
Kepler-145 b,37.10000,2.650,,,,6022.00,1.85,,,11.931
Kepler-145 c,79.40000,4.320,,,,6022.00,1.85,,,11.931
Kepler-140 c,,1.800,0.414000,,,6077.00,1.29,,,12.996
Kepler-146 b,,3.710,0.200000,,,5948.00,1.21,,,13.838
Kepler-141 b,,0.690,0.039000,,,4910.00,0.79,,,13.448
Kepler-146 c,,3.130,0.364000,,,5948.00,1.21,,,13.838
Kepler-147 b,,1.530,0.113000,,,6012.00,1.47,,,13.954
Kepler-141 c,,1.410,0.067000,,,4910.00,0.79,,,13.448
Kepler-147 c,,2.430,0.216000,,,6012.00,1.47,,,13.954
Kepler-142 c,,2.860,0.057000,,,5790.00,1.27,,,13.203
Kepler-148 b,,1.800,0.028000,,,5272.00,0.85,,,15.342
Kepler-148 c,,3.600,0.050000,,,5272.00,0.85,,,15.342
Kepler-149 b,,4.210,0.184000,,,5381.00,0.95,,,14.001
Kepler-149 c,,1.610,0.281000,,,5381.00,0.95,,,14.001
Kepler-149 d,,3.960,0.571000,,,5381.00,0.95,,,14.001
Kepler-150 b,,1.250,0.044000,,,5560.00,0.94,,927.00,14.985
Kepler-150 d,,2.790,0.104000,,,5560.00,0.94,,927.00,14.985
Kepler-150 e,,3.120,0.189000,,,5560.00,0.94,,927.00,14.985
Kepler-151 b,,3.060,0.116000,,,5460.00,0.83,,,14.769
Kepler-152 b,,2.790,0.124000,,,5088.00,0.72,,,14.290
Kepler-152 c,,2.390,0.356000,,,5088.00,0.72,,,14.290
Kepler-153 b,,2.920,0.129000,,,5404.00,0.89,,,14.262
Kepler-153 c,,2.530,0.237000,,,5404.00,0.89,,,14.262
Kepler-154 c,,2.950,0.303000,,,5690.00,1.00,,,14.534
Kepler-155 b,,2.090,0.056000,,,4508.00,0.62,,293.00,14.258
Kepler-155 c,,2.240,0.242000,,,4508.00,0.62,,293.00,14.258
Kepler-156 c,,2.550,0.117000,,,5094.00,0.81,,,14.172
Kepler-157 b,,1.320,0.028000,,,5774.00,1.04,,,14.002
Kepler-157 c,,2.240,0.110000,,,5774.00,1.04,,,14.002
Kepler-158 c,,1.900,0.158000,,,4623.00,0.62,,,14.427
Kepler-159 b,,2.380,0.082000,,,4625.00,0.66,,,14.902
Kepler-159 c,,3.410,0.218000,,,4625.00,0.66,,,14.902
Kepler-160 b,,1.540,0.050000,,,5857.00,0.88,,,14.619
Kepler-161 b,,2.120,0.054000,,,5078.00,0.81,,,14.196
Kepler-161 c,,2.050,0.068000,,,5078.00,0.81,,,14.196
Kepler-162 b,,1.260,0.069000,,,5816.00,0.96,,,14.248
Kepler-163 b,,1.050,0.078000,,,5776.00,0.92,,,14.415
Kepler-163 c,,2.260,0.152000,,,5776.00,0.92,,,14.415
Kepler-164 b,,1.410,0.058000,,,5888.00,1.15,,,14.282
Kepler-164 d,,2.450,0.187000,,,5888.00,1.15,,,14.282
Kepler-165 b,,2.320,0.072000,,,5211.00,0.77,-23.59,,14.802
Kepler-165 c,,2.230,0.110000,,,5211.00,0.77,-23.59,,14.802
Kepler-166 c,,2.380,0.195000,,,5413.00,0.74,,,14.701
Kepler-44 b,317.82000,12.220,0.044600,84.960,,5800.00,1.35,-35.89,2250.00,14.678
Kepler-45 b,160.49700,10.760,0.030000,87.000,3.204000,3820.00,0.55,,333.00,16.880
Kepler-46 b,1907.00000,9.057,0.196800,89.038,,5309.00,0.79,,855.00,15.262
Kepler-46 d,,1.640,0.067000,,,5309.00,0.79,,855.00,15.262
Kepler-47 b,636.00000,3.030,0.296200,89.700,,5636.00,0.96,,1500.00,15.178
Kepler-47 c,8899.00000,4.620,0.991000,89.825,,5636.00,0.96,,1500.00,15.178
Kepler-48 c,14.61000,2.710,,,,5194.00,0.89,,,13.040
Kepler-48 e,657.00000,,,,,5194.00,0.89,,,13.040
Kepler-49 b,311.46000,2.720,,,,4252.00,0.56,,,15.264
Kepler-49 d,,1.600,0.031000,,,4252.00,0.56,,,15.264
Kepler-42 b,,0.780,0.011600,,,3068.00,0.17,-84.48,38.70,16.124
Kepler-42 c,,0.730,0.006000,,0.156000,3068.00,0.17,-84.48,38.70,16.124
Kepler-49 e,,1.560,0.116000,,,4252.00,0.56,,,15.264
Kepler-50 b,,1.710,0.077000,,0.009900,6225.00,1.58,,,10.421
Kepler-42 d,,0.570,0.015400,,,3068.00,0.17,-84.48,38.70,16.124
Kepler-51 b,2.10000,7.100,0.251400,,,6018.00,0.94,,,14.669
Kepler-51 c,4.00000,9.000,0.384000,,,6018.00,0.94,,,14.669
Kepler-51 d,7.60000,9.700,0.509000,,,6018.00,0.94,,,14.669
Kepler-52 c,3308.41000,1.840,,,,4263.00,0.56,,,15.095
Kepler-52 d,,1.950,0.182000,,,4263.00,0.56,,,15.095
Kepler-53 b,5851.00000,2.890,,,,5858.00,0.89,,,15.386
Kepler-53 d,,2.120,0.091000,,,5858.00,0.89,,,15.386
Kepler-54 b,292.39000,2.100,,,,4252.00,0.55,,,15.847
Kepler-54 c,117.59000,1.230,,,,4252.00,0.55,,,15.847
Kepler-54 d,,1.530,0.126000,,,4252.00,0.55,,,15.847
Kepler-55 e,,1.550,0.048000,,,4503.00,0.62,,,15.791
Kepler-56 b,22.10000,6.510,0.102800,,,4840.00,4.23,,,12.440
